title,link,points,time
All of Earth's water in a single sphere (2019),https://www.usgs.gov/media/images/all-earths-water-a-single-sphere,712,2024-08-13 01:00:00
There Is No Antimemetics Division (2018),https://qntm.org/scp,711,2024-08-12 00:00:00
SponsorBlock – skip sponsor segments on YouTube,https://sponsor.ajay.app/,566,2024-08-12 00:00:00
Captain Disillusion debunks David Beckham beach kicks [video],https://www.youtube.com/watch?v=oVWsbpdDxTg,564,2024-08-13 00:00:00
Show HN: If YouTube had actual channels,https://ytch.xyz,531,2024-08-13 22:00:00
Google Pixel 9 Pro,https://store.google.com/us/product/pixel_9_pro?hl=en-US,473,2024-08-13 00:00:00
Ex-Kansas police chief who raided local newspaper criminally charged,https://www.theguardian.com/us-news/article/2024/aug/13/marion-county-police-newspaper-raid-charges,419,2024-08-13 06:00:00
EFF’s concerns about the UN Cybercrime Convention,https://www.eff.org/deeplinks/2024/07/effs-concerns-about-un-draft-cybercrime-convention,344,2024-08-13 00:00:00
The Webb Telescope further deepens the Hubble tension controversy in cosmology,https://www.quantamagazine.org/the-webb-telescope-further-deepens-the-biggest-controversy-in-cosmology-20240813/,327,2024-08-13 00:00:00
"Room inspections at Resorts World confuse, annoy DEF CON attendees",https://www.reviewjournal.com/business/tourism/invasion-of-privacy-hotel-room-inspections-confuse-hacker-convention-attendees-3121350/,312,2024-08-10 00:00:00
Hacking the largest airline and hotel rewards platform (2023),https://samcurry.net/points-com,289,2024-08-13 00:00:00
Launch HN: Trellis (YC W24) – AI-powered workflows for unstructured data,item?id=41236273,225,2024-08-13 00:00:00
AudioFlux: A C/C++ library for audio and music analysis,https://github.com/libAudioFlux/audioFlux,217,2024-08-13 00:00:00
An open-source flow battery kit,https://dualpower.supply/posts/rfb-kit-workshop/,214,2024-08-13 00:00:00
Why we picked AGPL,https://blog.paradedb.com/pages/agpl,210,2024-08-13 00:00:00
What you learn by making a new programming language,https://ntietz.com/blog/you-should-make-a-new-terrible-programming-language/,209,2024-08-13 00:00:00
The new PostgreSQL 17 make dist,http://peter.eisentraut.org/blog/2024/08/13/the-new-postgresql-17-make-dist,199,2024-08-13 00:00:00
Someone's been messing with Python's floating point subnormals,https://moyix.blogspot.com/2022/09/someones-been-messing-with-my-subnormals.html,194,2024-08-13 00:00:00
Rust Atomics and Locks (2023),https://marabos.nl/atomics/,192,2024-08-13 04:00:00
Grok-2 Beta Release,https://x.ai/blog/grok-2,189,2024-08-13 13:00:00
From object transition to RCE in the Chrome renderer,https://github.blog/security/vulnerability-research/from-object-transition-to-rce-in-the-chrome-renderer/,171,2024-08-13 00:00:00
Open-source tool translates and dubs videos into other languages using AI,https://github.com/jianchang512/pyvideotrans,170,2024-08-13 00:00:00
Show HN: See the impact on your cloud costs as you code,item?id=41235038,166,2024-08-13 00:00:00
You've got to hide your myopia away: John Lennon's contact lenses,https://onlinelibrary.wiley.com/doi/10.1111/opo.13351,166,2024-08-13 00:00:00
Serena: An experimental operating system for 32bit Amiga computers,https://github.com/dplanitzer/Serena,155,2024-08-13 00:00:00
Show HN: Stipple Effect – a scriptable pixel art editor to make game art faster,https://github.com/jbunke/stipple-effect,153,2024-08-13 00:00:00
"Sort, sweep, and prune: Collision detection algorithms",https://leanrada.com/notes/sweep-and-prune/,141,2024-08-13 18:00:00
0xCAFEBABE & 0xFEEDFACE (2003),http://radio-weblogs.com/0100490/2003/01/28.html,128,2024-08-13 00:00:00
Security and privacy risks of public JavaScript CDNs,https://httptoolkit.com/blog/public-cdn-risks/,126,2024-08-11 00:00:00
ARPA-H announces awards to develop novel technologies for precise tumor removal,https://arpa-h.gov/news-and-events/arpa-h-announces-awards-develop-novel-technologies-precise-tumor-removal,125,2024-08-13 04:00:00
MVSplat: Efficient 3D Gaussian Splatting from Sparse Multi-View Images,https://donydchen.github.io/mvsplat/,123,2024-08-13 07:00:00
MVSplat: Efficient 3D Gaussian Splatting from Sparse Multi-View Images,https://donydchen.github.io/mvsplat/,123,2024-08-13 07:00:00
Confusion Attacks: Exploiting Hidden Semantic Ambiguity in Apache HTTP Server,https://blog.orange.tw/2024/08/confusion-attacks-en.html,115,2024-08-13 00:00:00
"Larry Tesler pioneered cut-and-paste, the one-button mouse, WYSIWIG (2005)",https://spectrum.ieee.org/of-modes-and-men,113,2024-08-13 18:00:00
Dune Scientists Observe First Neutrinos with Prototype Detector at Fermilab,https://newscenter.lbl.gov/2024/08/12/dune-scientists-observe-first-neutrinos-with-prototype-detector-at-fermilab/,110,2024-08-13 18:00:00
Show HN: Open-source LLM provider price comparison,https://github.com/arc53/llm-price-compass,107,2024-08-13 18:00:00
The Syndicated Actor Model,https://syndicate-lang.org/about/,105,2024-08-13 17:00:00
Emacs: Contextual Interfaces in Casual Calc,http://yummymelon.com/devnull/contextual-interfaces-in-casual-calc.html,104,2024-08-13 00:00:00
Rodney Brooks’s Three Laws of Robotics,https://spectrum.ieee.org/rodney-brooks-three-laws-robotics,104,2024-08-13 00:00:00
Things I learned from teaching (2023),https://claytonwramsey.com/blog/learned-from-teaching,102,2024-08-13 09:00:00
Pixel Watch 3,https://blog.google/products/pixel/google-pixel-watch-3/,100,2024-08-13 02:00:00
"Quote-unquote ""macros""",https://ianthehenry.com/posts/quote-unquote-macros/,95,2024-08-13 00:00:00
SQL Injection Isn't Dead: Smuggling Queries at the Protocol Level,https://simonwillison.net/2024/Aug/12/smuggling-queries-at-the-protocol-level/,94,2024-08-13 00:00:00
Printf Oriented Message Protocol,https://github.com/Parrot-Developers/libpomp,93,2024-08-13 00:00:00
Approximating sum types in Python with Pydantic,https://blog.yossarian.net/2024/08/12/Approximating-sum-types-in-Python-with-Pydantic,85,2024-08-13 14:00:00
An approach to optimizing TypeScript type checking performance,https://www.edgedb.com/blog/an-approach-to-optimizing-typescript-type-checking-performance#how-do-we-quantify-the-type-checker-s-workload,84,2024-08-13 10:00:00
Windows TCP/IP Remote Code Execution Vulnerability,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38063,84,2024-08-13 15:00:00
How the Totem Compass Works,https://www.totemlabs.com/post/how-the-totem-compass-works,79,2024-08-13 00:00:00
Entangled Photons Maintained Under New York Streets,https://physics.aps.org/articles/v17/125,77,2024-08-13 08:00:00
Safe curves for Elliptic Curve Cryptography [pdf],https://eprint.iacr.org/2024/1265.pdf,76,2024-08-13 11:00:00
I Put a Toaster in the Dishwasher,https://jdstillwater.blogspot.com/2012/05/i-put-toaster-in-dishwasher.html,73,2024-08-13 00:00:00
National Instruments acquired by Emerson (2023),https://www.ni.com/en/perspectives/letter-to-customers.html,71,2024-08-13 00:00:00
Visualizing Complex Functions,https://vankessel.io/visualizing-complex-functions,68,2024-08-13 00:00:00
Re-fixing Servo's event-loop,https://medium.com/@polyglot_factotum/re-fixing-servos-event-loop-e00bdf267385,65,2024-08-13 21:00:00
"Ancient calendar, recently discovered, may document a long-ago disaster",https://www.nytimes.com/2024/08/10/world/asia/worlds-oldest-calendar-gobekli-tepe.html,60,2024-08-13 14:00:00
CSVs Are Kinda Bad. DSVs Are Kinda Good,https://matthodges.com/posts/2024-08-12-csv-bad-dsv-good/,59,2024-08-13 16:00:00
Of mice and men and Magdalen: C. S. Lewis’s Oxford,https://thecritic.co.uk/issues/july-2024/of-mice-and-men-and-magdalen/,58,2024-08-13 00:00:00
Show HN: We made a tool to help developers improve OpenAPI specs,https://github.com/zuplo/rate-my-openapi,57,2024-08-13 17:00:00
Project Oak by Google,https://github.com/project-oak/oak,54,2024-08-13 21:00:00
Texas sues GM for unlaw­ful­ly collecting and selling dri­vers' pri­vate data [pdf],https://www.texasattorneygeneral.gov/sites/default/files/images/press/General%20Motors%20Data%20Privacy%20Petition%20Filed.pdf,54,2024-08-13 21:00:00
Visual Data Structures Cheat-Sheet,https://photonlines.substack.com/p/visual-data-structures-cheat-sheet,54,2024-08-13 22:00:00
Kubernetes Cost Management with the New OpenCost Plugin for Headlamp,https://headlamp.dev/blog/2024/08/08/opencost-plugin,52,2024-08-13 14:00:00
"Callisto: Reverse polish notation programming language inspired by YSL-C3, Forth",https://github.com/callisto-lang/compiler,50,2024-08-13 00:00:00
Tmpmail: Temporary email right from your terminal written in POSIX sh,https://github.com/sdushantha/tmpmail,39,2024-08-13 21:00:00
A Different Kind of Keyboard,https://ianthehenry.com/posts/peggi/,39,2024-08-13 22:00:00
Kiota: OpenAPI-Based HTTP Client Code Generator,https://github.com/microsoft/kiota,38,2024-08-13 22:00:00
Show HN: I've open sourced DD Poker,https://github.com/dougdonohoe/ddpoker,32,2024-08-13 05:00:00
From Sets to Categories,https://abuseofnotation.github.io/category-theory-illustrated/02_category/,30,2024-08-13 19:00:00
"The ""3B People"" National Public Data Breach",https://www.troyhunt.com/inside-the-3-billion-people-national-public-data-breach/,30,2024-08-13 23:17:00
Show HN: I made a tool to help collect and validate startup ideas,https://www.keepmyidea.app,25,2024-08-13 15:00:00
Show HN: Double – Design and invest in your own stock index,item?id=41246686,22,2024-08-13 22:00:00
Global Sales Tax Compliance and Remittance (For SaaS Companies),https://www.outseta.com/posts/global-sales-tax-compliance-and-remittance,19,2024-08-13 06:00:00
"Tubi Explodes in Popularity, Outranking Max and Apple TV+",https://www.nytimes.com/2024/08/13/business/media/tubi-movies-tv-streaming.html,17,2024-08-13 20:00:00
AMD Ryzen 9 9950X and Ryzen 9 9900X Deliver Excellent Linux Performance,https://www.phoronix.com/review/amd-ryzen-9950x-9900x,15,2024-08-13 20:00:00
Some thoughts on OpenSSH 9.8's PerSourcePenalties feature,https://utcc.utoronto.ca/~cks/space/blog/sysadmin/OpenSSHPerSourcePenaltiesThings,15,2024-08-13 22:00:00
Achieving the perfect golden record with graph data,https://aerospike.com/blog/entity-resolution-golden-record/,13,2024-08-13 18:00:00
The Curse of Knowledge,https://nesslabs.com/curse-of-knowledge,12,2024-08-13 22:00:00
A Backstage Pass to the Production of the MoonSwatch and Scuba Fifty Fathoms,https://www.hodinkee.com/articles/a-backstage-pass-to-the-production-of-the-moonswatch-and-scuba-fifty-fathoms,11,2024-08-13 17:00:00
"Korea EV explosion prompts charging rethink, sparks safety fears",https://www.japantimes.co.jp/business/2024/08/08/tech/korea-ev-explosion-safety-fears/,10,2024-08-13 23:32:00
The Movie 'Didi' Understands the 2000s-Internet Generation,https://www.theatlantic.com/culture/archive/2024/08/didi-movie-review/679456/,9,2024-08-13 20:00:00
Integration and Android,https://stratechery.com/2024/integration-and-android/,9,2024-08-13 21:00:00
S&P Global is paying Accenture to train all 35k staff in 'generative AI',https://newsroom.accenture.com/news/2024/s-p-global-and-accenture-partner-to-enable-customers-and-employees-to-harness-the-full-potential-of-generative-ai,9,2024-08-13 23:36:00
Launch HN: Promi (YC S24) – AI-powered ecommerce discounts,item?id=41247211,8,2024-08-13 22:00:00
How to triage patients and run a ER during a mass casualty incident,https://epmonthly.com/article/not-heroes-wear-capes-one-las-vegas-ed-saved-hundreds-lives-worst-mass-shooting-u-s-history/,7,2024-08-14 00:00:00
Show HN: A free tool to visualise scales on a guitar,https://stringscales.com/,6,2024-08-13 15:00:00
Real-Time Human Attention Estimation on Device,https://testflight.apple.com/join/Z6UFZA6Y,5,2024-08-13 22:00:00
They All Got Mysterious Brain Diseases. They're Fighting to Learn Why,https://www.nytimes.com/2024/08/14/magazine/canada-brain-disease-dementia.html,5,2024-08-13 23:12:00
Disney World: Cannot sue over wife's death at park as he signed up for Disney+,https://www.telegraph.co.uk/world-news/2024/08/14/florida-disney-world-allergy-death-lawsuit-smallprint/,5,2024-08-13 23:32:00
Stonehenge Altar Stone came from Scotland not Wales,https://www.bbc.co.uk/news/articles/c207lqdn755o,3,2024-08-14 00:00:00
CoinTracker (YC W18) Is Hiring a Consumer Product Lead,https://jobs.ashbyhq.com/cointracker/83a181d0-f08c-44ff-8b8c-e0ad3b7a89a1?utm_source=hackernews,0,2024-08-13 23:27:00
